127.0.0.1 - - [19/Dec/2022:11:42:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:42:05 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 17175
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:42:05 +0900] "GET /yh/resources/css/section.css HTTP/1.1" 200 5612
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:42:05 +0900] "GET /yh/resources/js/section_slide.js HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:42:05 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:42:05 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:42:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:43:07 +0900] "GET /yh/resources/css/signUp.css HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:43:20 +0900] "GET /yh/resources/views/index.jsp HTTP/1.1" 200 17175
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:43:20 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:43:20 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943.png HTTP/1.1" 200 105055
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:43:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:43:58 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:43:58 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:44:32 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:44:32 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38256
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:45:00 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:45:00 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38257
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:45:00 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:46:45 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:46:45 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38481
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:46:45 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:46:45 +0900] "GET /yh/resources/img/KakaoTalk_20221219_090531943_03.png HTTP/1.1" 200 83109
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:47:06 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:47:06 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 200 38482
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:48:35 +0900] "GET /yh/resources/views/header.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:48:36 +0900] "GET /yh/resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:11:48:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
